id,bg,bg_trunk
348,141561.9282,41357.83836769409
412,118685.5515,38222.73406759644
374,94822.65625,37379.296875
360,94583.57679,44498.54084410767
406,99215.11523,50597.03295460937
638,92660.72258,35580.48147968872
176,83012.35199,35086.21215845703
88,83901.55792,43023.83422615235
610,143772.9188,49846.36536355401
604,121454.0972,54483.0309387085
162,108937.4316,52468.91277065429
189,82004.83318,38333.76448678342
837,99941.52393,31558.55884210937
77,87885.65259,18048.878175937498
823,139396.0524,70432.17674005736
63,112812.9411,52916.668625321814
758,96886.47601,31308.5121428125
764,65784.43766,36488.63554360595
770,83060.33839,27710.089809067387
228,149776.5016,53147.040909302275
566,125897.3506,45441.823256250005
200,122086.3403,37843.67062226562
214,96738.67188,37085.546879999994
572,97222.16172,45815.5261189563
599,122248.9929,25769.805888281247
598,122297.8672,62423.05368529052
215,128875.6693,46664.07103339843
573,88059.67751,32719.375829680488
567,107435.5604,44037.42298583023
201,93438.18013,45292.51802825439
229,99607.45801,36416.46826390625
771,142999.0112,68702.83297734376
765,127265.8281,42968.8515375
759,112848.9232,59267.75293887986
62,95040.84179,51707.208351889654
822,135733.9441,50358.463331323335
188,104510.1094,44439.36330625
76,98941.1036,39902.88543746338
836,156255.7534,26588.762896829023
605,178657.0647,51199.355246417224
163,110145.1423,27528.656074871833
177,80596.32292,38687.92143074219
611,95061.04927,31776.16463285424
89,104855.396,46132.07029315954
639,129328.0434,46581.59657688986
361,122054.1931,46426.57627871094
407,204786.1634,79306.83928602094
413,80838.77563,29589.958186152347
375,107607.6535,40476.84974328613
349,94917.1875,41338.28125
439,142439.6986,52572.919708829955
405,102893.5052,41076.67158183594
363,112250.7783,47886.64344084437
377,116537.7949,39710.97086435546
411,64822.28793,20240.868653413374
388,123703.8388,30917.540128277586
149,124985.2687,51832.20559500538
161,135937.6875,87188.625
607,92724.9936,38681.61325560913
613,167583.6869,61275.39309494305
175,120695.592,26098.40866978286
820,114801.1454,48630.14321417846
60,136492.2116,36294.599609896104
834,85864.46991,23743.1408084375
74,102520.1268,62991.20962470703
808,122053.751,56650.657890869144
48,141709.4468,56301.52751184006
773,153615.765,75309.7421041677
767,109934.7591,53240.470846215816
798,115911.964,49457.08076025391
559,91424.59717,31513.506319169916
