id,bg,bg_trunk
859,178387.388,41484.83195629064
695,93843.94297,22362.944080076908
747,133816.3951,51067.68697011718
594,129585.4881,47676.81631164532
110,69680.0663,24103.013360817262
612,72646.14868,24363.32397296875
891,104059.5341,46145.18770587338
860,80034.37042,36840.934751054694
644,101559.3936,32662.17818023071
587,90990.9234,27843.586714819336
202,113834.5752,30747.59911760711
138,116690.1306,49039.508041406254
374,94822.65625,37379.296875
611,95061.04927,31776.16463285424
590,97410.58472,37008.67602859375
421,82638.81683,23251.87682755859
582,108388.494,27010.540962738043
763,99140.42983,29754.31046961194
508,81514.54916,27521.86744308105
309,91843.98994,23336.48271114868
132,88477.44665,28973.30953106693
